RegionID,SizeRank,RegionName,RegionType,StateName,BaseDate,2022-06-30,2022-08-31,2023-05-31
394847,415,"Meadville, PA",Msa,PA,2022-05-31,0.6,2.3,5.1
394373,416,"Beaver Dam, WI",Msa,WI,2022-05-31,1.6,4.7,11.0
753912,417,"Pinehurst-Southern Pines, NC",Msa,NC,2022-05-31,2.1,6.2,14.2
395175,418,"Ukiah, CA",Msa,CA,2022-05-31,0.9,3.3,6.6
753887,419,"Hermiston-Pendleton, OR",Msa,OR,2022-05-31,1.3,3.4,8.8
394809,420,"Lufkin, TX",Msa,TX,2022-05-31,0.8,2.8,6.2
395248,421,"Zanesville, OH",Msa,OH,2022-05-31,1.1,4.6,12.1
394505,422,"Corvallis, OR",Msa,OR,2022-05-31,0.9,3.3,10.3
394395,423,"Bloomsburg, PA",Msa,PA,2022-05-31,0.4,1.6,4.0
394776,424,"Laurel, MS",Msa,MS,2022-05-31,0.8,2.5,4.9
395042,425,"Russellville, AR",Msa,AR,2022-05-31,0.2,2.8,7.1
394411,426,"Branson, MO",Msa,MO,2022-05-31,-2.4,-2.2,2.8
395212,427,"Watertown, WI",Msa,WI,2022-05-31,1.0,3.6,9.1
394859,428,"Midland, MI",Msa,MI,2022-05-31,1.0,3.3,9.2
394941,429,"Opelousas, LA",Msa,LA,2022-05-31,0.6,2.0,3.7
394988,430,"Pocatello, ID",Msa,ID,2022-05-31,0.9,3.5,12.7
394755,431,"Kokomo, IN",Msa,IN,2022-05-31,1.1,3.3,8.9
394641,432,"Grants Pass, OR",Msa,OR,2022-05-31,0.4,2.2,7.7
394699,433,"Huntsville, TX",Msa,TX,2022-05-31,0.8,2.8,7.0
394986,434,"Plattsburgh, NY",Msa,NY,2022-05-31,1.6,3.6,6.4
394638,435,"Grand Island, NE",Msa,NE,2022-05-31,0.6,2.5,6.3
394541,436,"DuBois, PA",Msa,PA,2022-05-31,0.4,1.8,4.2
394516,437,"Danville, IL",Msa,IL,2022-05-31,0.6,2.1,3.4
394822,438,"Manitowoc, WI",Msa,WI,2022-05-31,1.1,3.6,8.3
394644,439,"Great Falls, MT",Msa,MT,2022-05-31,1.6,4.9,11.6
395231,440,"Wilson, NC",Msa,NC,2022-05-31,1.3,3.5,9.0
394511,441,"Cullman, AL",Msa,AL,2022-05-31,0.8,3.0,8.0
394936,442,"Olean, NY",Msa,NY,2022-05-31,3.2,8.7,17.2
394350,443,"Auburn, NY",Msa,NY,2022-05-31,0.9,3.2,7.2
394999,444,"Portsmouth, OH",Msa,OH,2022-05-31,0.6,2.1,4.6
394345,445,"Athens, TX",Msa,TX,2022-05-31,3.0,7.1,15.8
394925,446,"Oak Harbor, WA",Msa,WA,2022-05-31,0.7,3.4,10.7
394465,447,"Chillicothe, OH",Msa,OH,2022-05-31,0.5,2.2,6.0
394682,448,"Hinesville, GA",Msa,GA,2022-05-31,1.3,3.7,7.6
395106,449,"Somerset, PA",Msa,PA,2022-05-31,0.5,2.0,4.4
395205,450,"Warsaw, IN",Msa,IN,2022-05-31,1.0,3.3,8.1
395133,451,"Stillwater, OK",Msa,OK,2022-05-31,-0.2,0.8,3.4
395010,452,"Quincy, IL",Msa,IL,2022-05-31,1.1,3.2,5.7
394738,453,"Keene, NH",Msa,NH,2022-05-31,1.7,5.5,11.9
395062,454,"Sandusky, OH",Msa,OH,2022-05-31,1.3,2.9,7.2
395077,455,"Searcy, AR",Msa,AR,2022-05-31,1.1,3.3,6.2
394489,456,"Columbus, IN",Msa,IN,2022-05-31,0.8,3.0,6.9
